original_name,category,question_type
Progress,demographics,
Duration (in seconds),demographics,
Finished,demographics,
Q1.3,demographics,
Q1.4,demographics,
Q1.5,demographics,
Q1.6,demographics,
Q1.7,demographics,
Q1.8,demographics,
Q1.9,demographics,
Q1.10,demographics,
Q1.11,demographics,
Q1.12,demographics,
Q1.13,demographics,
Q1.14,demographics,
Q1.15,demographics,
Q1.16,demographics,
Q1.17,demographics,
Q1.18,demographics,
Q1.19,demographics,
Q2.2_1,demographics,
Q2.2_2,demographics,
Q2.2_3,demographics,
Q2.2_4,demographics,
Q2.2_5,demographics,
Q2.2_6,demographics,
Q2.2_7,demographics,
Q2.2_8,demographics,
Q2.3_1,demographics,
Q2.3_2,demographics,
Q2.3_3,demographics,
Q2.3_4,demographics,
Q3.2_1,demographics,
Q3.2_2,demographics,
Q3.2_3,demographics,
Q3.2_4,demographics,
Q3.2_5,demographics,
Q3.2_6,demographics,
Q3.2_7,demographics,
Q3.3_1,demographics,
Q3.3_2,demographics,
Q3.3_3,demographics,
Q3.3_4,demographics,
Q3.4_1,demographics,
Q3.4_2,demographics,
Q3.4_3,demographics,
Q3.4_4,demographics,
Q3.5_1,demographics,
Q3.5_2,demographics,
Q3.5_3,demographics,
Q3.5_4,demographics,
Q3.5_5,demographics,
Q3.6_1,demographics,
Q3.6_2,demographics,
Q3.6_3,demographics,
Q3.6_4,demographics,
Q3.6_5,demographics,
Q3.7_1,demographics,
Q3.7_2,demographics,
Q3.7_3,demographics,
Q3.7_4,demographics,
Q3.7_5,demographics,
Q3.8,demographics,
Q4.2_1,demographics,
Q4.2_2,demographics,
Q4.2_3,demographics,
Q4.2_4,demographics,
Q4.3_1,demographics,
Q4.3_2,demographics,
Q4.3_3,demographics,
Q4.4_1,demographics,
Q4.4_2,demographics,
Q4.4_3,demographics,
Q4.4_4,demographics,
Q4.4_5,demographics,
Q4.4_6,demographics,
Q4.4_7,demographics,
Q4.4_8,demographics,
Q4.4_9,demographics,
Q4.4_10,demographics,
Q4.4_11,demographics,
Q4.4_12,demographics,
Q4.4_13,demographics,
Q4.4_14,demographics,
Q4.5_1,demographics,
Q4.5_2,demographics,
Q4.5_3,demographics,
Q4.6_1,demographics,
Q4.6_2,demographics,
Q4.6_3,demographics,
Q4.6_4,demographics,
Q4.6_5,demographics,
Q4.6_6,demographics,
Q4.6_7,demographics,
Q4.6_8,demographics,
Q4.7,demographics,
Q5.2_1,demographics,
Q5.2_2,demographics,
Q5.2_3,demographics,
Q5.2_4,demographics,
Q5.2_5,demographics,
Q5.2_6,demographics,
Q5.2_7,demographics,
Q5.2_8,demographics,
Q5.2_9,demographics,
Q5.3,demographics,
